episodio,goal_id,resultado,pasos,reward,heading_rad
499,goal_05,exito,243,68.02,-1.5129
500,goal_05,exito,243,68.03,-1.5132
501,goal_06,exito,252,67.07,-2.1887
502,goal_06,exito,252,67.08,-2.1871
503,goal_06,exito,252,67.1,-2.1865
504,goal_06,exito,252,67.07,-2.1895
505,goal_06,exito,252,67.1,-2.1867
506,goal_06,exito,252,67.07,-2.1891
507,goal_06,exito,252,67.1,-2.1863
508,goal_06,exito,252,67.1,-2.1867
509,goal_06,exito,252,67.08,-2.1868
510,goal_06,exito,252,67.09,-2.187
511,goal_06,exito,252,67.08,-2.1869
512,goal_06,exito,252,67.1,-2.1867
513,goal_06,exito,252,67.08,-2.1869
514,goal_06,exito,252,67.1,-2.1864
515,goal_06,exito,252,67.09,-2.1866
516,goal_06,exito,252,67.1,-2.1866
517,goal_06,exito,252,67.1,-2.1868
518,goal_06,exito,252,67.08,-2.1891
519,goal_06,exito,252,67.1,-2.1866
520,goal_06,exito,252,67.07,-2.1894
521,goal_06,exito,252,67.09,-2.1868
522,goal_06,exito,252,67.1,-2.1866
523,goal_06,exito,252,67.08,-2.187
524,goal_06,exito,252,67.1,-2.1866
525,goal_06,exito,252,67.08,-2.1874
526,goal_06,exito,252,67.09,-2.187
527,goal_06,exito,252,67.08,-2.1869
528,goal_06,exito,252,67.1,-2.1869
529,goal_06,exito,252,67.1,-2.1861
530,goal_06,exito,252,67.09,-2.1867
531,goal_06,exito,252,67.1,-2.1866
532,goal_06,exito,252,67.1,-2.1867
533,goal_06,exito,252,67.1,-2.1866
534,goal_06,exito,252,67.1,-2.1862
535,goal_06,exito,252,67.08,-2.1878
536,goal_06,exito,252,67.1,-2.1865
537,goal_06,exito,252,67.08,-2.1878
538,goal_06,exito,252,67.1,-2.1864
539,goal_06,exito,252,67.08,-2.1878
540,goal_06,exito,252,67.1,-2.1865
541,goal_06,exito,252,67.1,-2.1865
542,goal_06,exito,252,67.07,-2.1882
543,goal_06,exito,252,67.11,-2.1862
544,goal_06,exito,252,67.07,-2.1889
545,goal_06,exito,252,67.1,-2.1861
546,goal_06,exito,252,67.09,-2.1868
547,goal_06,exito,252,67.1,-2.1865
548,goal_06,exito,252,67.1,-2.1867
549,goal_06,exito,252,67.08,-2.1875
550,goal_06,exito,252,67.1,-2.1864
551,goal_06,exito,252,67.07,-2.189
552,goal_06,exito,252,67.1,-2.1866
553,goal_06,exito,252,67.08,-2.1878
554,goal_06,exito,252,67.1,-2.1863
555,goal_06,exito,252,67.1,-2.1866
556,goal_06,exito,252,67.08,-2.1883
557,goal_06,exito,252,67.1,-2.1869
558,goal_06,exito,252,67.08,-2.1876
559,goal_06,exito,252,67.1,-2.1865
560,goal_06,exito,252,67.08,-2.1871
561,goal_06,exito,252,67.1,-2.1862
562,goal_06,exito,252,67.09,-2.1869
563,goal_06,exito,252,67.08,-2.1882
564,goal_06,exito,252,67.1,-2.187
565,goal_06,exito,252,67.08,-2.1878
566,goal_06,exito,252,67.1,-2.1866
567,goal_06,exito,252,67.1,-2.1864
568,goal_06,exito,252,67.09,-2.1868
569,goal_06,exito,252,67.1,-2.1867
570,goal_06,exito,252,67.08,-2.1871
571,goal_06,exito,252,67.1,-2.1867
572,goal_06,exito,252,67.08,-2.187
573,goal_06,exito,252,67.09,-2.187
574,goal_06,exito,252,67.1,-2.1864
575,goal_06,exito,252,67.08,-2.1891
576,goal_06,exito,252,67.1,-2.1863
577,goal_06,exito,252,67.07,-2.1901
578,goal_06,exito,252,67.09,-2.1866
579,goal_06,exito,252,67.1,-2.1866
580,goal_06,exito,252,67.08,-2.1871
581,goal_06,exito,252,67.1,-2.1862
582,goal_06,exito,252,67.08,-2.1878
583,goal_06,exito,252,67.1,-2.1864
584,goal_06,exito,252,67.07,-2.1873
585,goal_06,exito,252,67.1,-2.1866
586,goal_06,exito,252,67.1,-2.1864
587,goal_06,exito,252,67.07,-2.1893
588,goal_06,exito,252,67.1,-2.1863
589,goal_06,exito,252,67.07,-2.1897
590,goal_06,exito,252,67.1,-2.1864
591,goal_06,exito,252,67.07,-2.1885
592,goal_06,exito,252,67.09,-2.1867
593,goal_06,exito,252,67.1,-2.1867
594,goal_06,exito,252,67.08,-2.1878
595,goal_06,exito,252,67.1,-2.1869
596,goal_06,exito,252,67.08,-2.1876
597,goal_06,exito,252,67.1,-2.1865
598,goal_06,exito,252,67.08,-2.1875
599,goal_06,exito,252,67.1,-2.1863
600,goal_06,exito,252,67.09,-2.1869
601,goal_07,exito,270,75.05,-1.9936
602,goal_07,exito,271,75.21,-1.9602
603,goal_07,exito,271,75.2,-1.961
604,goal_07,exito,271,75.22,-1.9605
605,goal_07,exito,271,75.21,-1.96
606,goal_07,exito,271,75.2,-1.9598
607,goal_07,exito,271,75.21,-1.9601
608,goal_07,exito,271,75.21,-1.9607
609,goal_07,exito,271,75.21,-1.9598
610,goal_07,exito,271,75.2,-1.9594
611,goal_07,exito,271,75.29,-1.9958
612,goal_07,exito,271,75.21,-1.9606
613,goal_07,exito,271,75.21,-1.9607
614,goal_07,exito,271,75.2,-1.9599
615,goal_07,exito,271,75.21,-1.9597
616,goal_07,exito,271,75.2,-1.9606
617,goal_07,exito,271,75.22,-1.9611
618,goal_07,exito,271,75.22,-1.9603
619,goal_07,exito,271,75.2,-1.9597
620,goal_07,exito,271,75.2,-1.9597
621,goal_07,exito,271,75.2,-1.9608
622,goal_07,exito,271,75.22,-1.9604
623,goal_07,exito,271,75.21,-1.9595
624,goal_07,exito,271,75.29,-1.9956
625,goal_07,exito,271,75.2,-1.9602
626,goal_07,exito,271,75.21,-1.961
627,goal_07,exito,271,75.21,-1.9601
628,goal_07,exito,271,75.21,-1.9596
629,goal_07,exito,271,75.19,-1.9602
630,goal_07,exito,271,75.22,-1.961
631,goal_07,exito,271,75.22,-1.9609
632,goal_07,exito,271,75.2,-1.9597
633,goal_07,exito,271,75.2,-1.9595
634,goal_07,exito,271,75.2,-1.9605
635,goal_07,exito,271,75.22,-1.9607
636,goal_07,exito,271,75.21,-1.9598
637,goal_07,exito,271,75.29,-1.9953
638,goal_07,exito,271,75.2,-1.9598
639,goal_07,exito,271,75.2,-1.9605
640,goal_07,exito,271,75.21,-1.9604
